index,avg_precision,avg_recall,avg_tp,avg_fp
"(number, title, year)",1.0,0.840708200013,16.6,0.0
"(author, number, title, year)",1.0,0.819425962101,16.2,0.0
"(pages, title)",1.0,0.695013267494,13.2,0.0
"(author, pages, title)",1.0,0.691371394172,13.0,0.0
"(pages, title, year)",1.0,0.707672131111,12.7,0.0
"(author, pages, title, year)",1.0,0.694011470985,12.5,0.0
"(author, number, pages, year)",1.0,0.69850669798,11.1,0.0
"(number, pages, title)",1.0,0.701489356055,11.0,0.0
"(author, number, pages, title)",1.0,0.696029501544,10.8,0.0
"(number, pages, title, year)",1.0,0.704369753054,10.6,0.0
"(author, number, pages, title, year)",1.0,0.703607859532,10.3,0.0
"(doi,)",1.0,1.0,1.5,0.0
"(doi, number)",1.0,1.0,1.0,0.0
"(doi, title)",1.0,1.0,1.0,0.0
"(author, doi)",1.0,1.0,1.0,0.0
"(author, doi, number)",1.0,1.0,1.0,0.0
"(doi, number, title, year)",1.0,0.75,1.0,0.0
"(author, doi, pages)",1.0,0.5,1.0,0.0
"(author, doi, pages, title, year)",1.0,0.5,1.0,0.0
"(author, doi, number, title)",1.0,1.0,0.75,0.0
"(doi, number, title)",1.0,1.0,0.75,0.0
"(author, doi, title)",1.0,1.0,0.75,0.0
"(author, doi, number, year)",1.0,0.75,0.666666666667,0.0
"(doi, pages, title)",1.0,0.75,0.666666666667,0.0
"(author, doi, number, pages)",1.0,0.75,0.666666666667,0.0
"(doi, number, pages)",1.0,0.75,0.666666666667,0.0
"(author, doi, pages, title)",1.0,0.75,0.666666666667,0.0
"(doi, number, pages, title)",1.0,0.666666666667,0.666666666667,0.0
"(doi, year)",1.0,0.666666666667,0.666666666667,0.0
"(doi, pages, year)",1.0,0.666666666667,0.666666666667,0.0
"(doi, number, pages, title, year)",1.0,0.5,0.666666666667,0.0
"(author, doi, year)",1.0,0.5,0.666666666667,0.0
"(doi, pages, title, year)",1.0,0.5,0.666666666667,0.0
"(author, doi, pages, year)",1.0,0.666666666667,0.5,0.0
"(doi, pages)",1.0,0.666666666667,0.5,0.0
"(doi, title, year)",1.0,0.666666666667,0.5,0.0
"(author, doi, number, pages, title)",1.0,0.666666666667,0.5,0.0
"(author, doi, number, pages, title, year)",1.0,0.666666666667,0.5,0.0
"(doi, number, pages, year)",1.0,0.666666666667,0.5,0.0
"(author, doi, number, title, year)",1.0,0.666666666667,0.5,0.0
"(author, doi, title, year)",1.0,0.666666666667,0.5,0.0
"(author, doi, number, pages, year)",1.0,0.666666666667,0.5,0.0
"(doi, number, year)",1.0,0.666666666667,0.5,0.0
"(author, journal, number, year)",1.0,0.0238596491228,0.4,0.0
"(journal, number, title, year)",1.0,0.0236694677871,0.4,0.0
"(journal, title, year)",1.0,0.0213822751323,0.4,0.0
"(author, journal, number, title)",1.0,0.0210909090909,0.4,0.0
"(journal, number, title)",1.0,0.0210818713451,0.4,0.0
"(author, journal, number, title, year)",1.0,0.018,0.4,0.0
"(author, journal, year)",1.0,0.0177222371948,0.4,0.0
"(journal, title)",1.0,0.0175183241713,0.4,0.0
"(author, journal, title)",1.0,0.0169162826421,0.4,0.0
"(author, journal, title, year)",1.0,0.016,0.4,0.0
"(journal, number, pages, title, year)",1.0,0.0280555555556,0.3,0.0
"(journal, pages, year)",1.0,0.0279166666667,0.3,0.0
"(journal, pages, title, year)",1.0,0.0258823529412,0.3,0.0
"(author, journal, pages, title, year)",1.0,0.0256944444444,0.3,0.0
"(journal, number, pages, year)",1.0,0.0255555555556,0.3,0.0
"(author, journal, number, pages, title, year)",1.0,0.0250534188034,0.3,0.0
"(journal, number, pages, title)",1.0,0.0225274725275,0.3,0.0
"(author, journal, pages)",1.0,0.0220512820513,0.3,0.0
"(author, journal, number, pages, year)",1.0,0.0215131578947,0.3,0.0
"(author, journal, pages, title)",1.0,0.0211455108359,0.3,0.0
"(journal, pages, title)",1.0,0.0210256410256,0.3,0.0
"(author, journal, number, pages, title)",1.0,0.0204656862745,0.3,0.0
"(author, journal, number, pages)",1.0,0.0188378185282,0.3,0.0
"(author, journal, pages, year)",1.0,0.0186335403727,0.3,0.0
"(journal, pages)",1.0,0.018354978355,0.3,0.0
"(journal, number, pages)",1.0,0.0159074155978,0.3,0.0
"(author, number, title)",0.995,0.83961498043,16.6,0.1
"(author, title, year)",0.994558823529,0.880093822773,33.8,0.2
"(author, number, pages)",0.992857142857,0.740690513047,11.5,0.1
"(author, pages, year)",0.989974937343,0.737227591036,13.6,0.2
"(number, title)",0.98918128655,0.85730994152,17.1,0.2
"(title, year)",0.961439608554,0.892763768553,34.1,1.4
"(author, title)",0.908914361501,0.865451297689,32.8,3.2
"(author, pages)",0.906688311688,0.751458903125,14.0,1.2
"(author, number, year)",0.853768568033,0.849269530349,15.9,3.0
"(number, pages, year)",0.832842296592,0.786744505495,10.9,2.3
"(title,)",0.796912206718,0.887609734831,30.9,7.8
"(author, journal, number)",0.5,0.0135964912281,0.3,0.2
"(author, number)",0.473642062716,0.907629233512,11.0,12.3
"(number, pages)",0.450474879363,0.805415140415,7.4,9.1
"(author, journal)",0.375,0.00942982456141,0.2,0.3
"(author, year)",0.318578420438,0.955254669457,16.1,34.9
"(pages, year)",0.269561403509,0.678968253968,5.8,14.8
"(author,)",0.0881210741677,0.938095238095,4.9,51.4
"(pages,)",0.0075,0.25,0.2,23.9
"(number, year)",0.0037037037037,0.5,0.1,25.8
"(journal,)",0.0,0.0,0.0,1.7
"(journal, number)",0.0,0.0,0.0,1.0
"(journal, number, year)",0.0,0.0,0.0,0.4
"(journal, year)",0.0,0.0,0.0,1.5
"(number,)",0.0,,0.0,26.9
"(year,)",0.0,,0.0,57.2
"(author, doi, journal)",,0.0,0.0,0.0
"(author, doi, journal, number, pages)",,0.0,0.0,0.0
"(author, doi, journal, number, year)",,0.0,0.0,0.0
"(author, doi, journal, year)",,0.0,0.0,0.0
"(doi, journal, number, title)",,0.0,0.0,0.0
"(doi, journal, pages)",,0.0,0.0,0.0
"(doi, journal, pages, title)",,0.0,0.0,0.0
"(doi, journal, year)",,0.0,0.0,0.0
"(author, doi, journal, pages, title)",,0.0,0.0,0.0
"(doi, journal, number, pages, year)",,0.0,0.0,0.0
"(doi, journal, pages, year)",,0.0,0.0,0.0
"(author, doi, journal, number, pages, title)",,0.0,0.0,0.0
"(author, doi, journal, title)",,0.0,0.0,0.0
"(doi, journal)",,0.0,0.0,0.0
"(doi, journal, number, pages)",,0.0,0.0,0.0
"(doi, journal, title, year)",,0.0,0.0,0.0
"(author, doi, journal, number, title)",,0.0,0.0,0.0
"(author, doi, journal, pages)",,0.0,0.0,0.0
"(doi, journal, title)",,0.0,0.0,0.0
"(author, doi, journal, number, pages, title, year)",,0.0,0.0,0.0
"(author, doi, journal, number, title, year)",,0.0,0.0,0.0
"(doi, journal, number, pages, title, year)",,0.0,0.0,0.0
"(author, doi, journal, pages, year)",,0.0,0.0,0.0
"(doi, journal, pages, title, year)",,0.0,0.0,0.0
"(doi, journal, number)",,0.0,0.0,0.0
"(author, doi, journal, number, pages, year)",,0.0,0.0,0.0
"(author, doi, journal, pages, title, year)",,0.0,0.0,0.0
"(author, doi, journal, title, year)",,0.0,0.0,0.0
"(doi, journal, number, pages, title)",,0.0,0.0,0.0
"(doi, journal, number, title, year)",,0.0,0.0,0.0
"(doi, journal, number, year)",,0.0,0.0,0.0
"(author, doi, journal, number)",,0.0,0.0,0.0
